inv_beta,onsite_U,x,abs_err,rel_err
2.771026,0.500000,0.519403,0.000188,0.000363
2.168596,0.500000,0.522778,0.000216,0.000414
5.108335,0.500000,0.511384,0.000092,0.000180
7.876555,0.500000,0.507957,0.000113,0.000223
3.660886,0.500000,0.515751,0.000116,0.000224
15.290131,0.500000,0.504044,0.000050,0.000098
100.000000,0.500000,0.500598,0.000024,0.000048
1.733698,0.500000,0.525471,0.000172,0.000327
1.404979,0.500000,0.527664,0.000240,0.000455
1.147784,0.500000,0.529114,0.000190,0.000359
0.941060,0.500000,0.529613,0.000172,0.000325
0.771278,0.500000,0.529990,0.000257,0.000485
0.629347,0.500000,0.529656,0.000212,0.000400
0.508935,0.500000,0.529239,0.000098,0.000185
100.000000,2.142857,0.502669,0.000056,0.000112
0.405492,0.500000,0.528907,0.000091,0.000173
15.290131,2.142857,0.516983,0.000135,0.000262
7.876555,2.142857,0.533387,0.000214,0.000400
5.108335,2.142857,0.549815,0.000321,0.000584
3.660886,2.142857,0.566502,0.000315,0.000556
2.771026,2.142857,0.582274,0.000183,0.000314
2.168596,2.142857,0.596161,0.000231,0.000387
0.315667,0.500000,0.528747,0.000056,0.000105
1.733698,2.142857,0.607580,0.000210,0.000346
1.404979,2.142857,0.616927,0.000601,0.000974
1.147784,2.142857,0.622638,0.000312,0.000502
0.941060,2.142857,0.625569,0.000305,0.000488
0.771278,2.142857,0.626544,0.000037,0.000058
0.236937,0.500000,0.528906,0.000160,0.000303
0.629347,2.142857,0.625906,0.000396,0.000632
0.508935,2.142857,0.625168,0.000254,0.000406
0.167366,0.500000,0.530216,0.000118,0.000223
0.405492,2.142857,0.624629,0.000248,0.000398
100.000000,3.785714,0.504710,0.000054,0.000107
15.290131,3.785714,0.531261,0.000297,0.000560
0.315667,2.142857,0.624081,0.000216,0.000346
7.876555,3.785714,0.558771,0.000246,0.000441
5.108335,3.785714,0.587797,0.000365,0.000620
3.660886,3.785714,0.615675,0.000479,0.000779
2.771026,3.785714,0.642884,0.000512,0.000797
0.236937,2.142857,0.624788,0.000157,0.000251
2.168596,3.785714,0.666794,0.000338,0.000507
1.733698,3.785714,0.685569,0.000463,0.000675
1.404979,3.785714,0.701788,0.000190,0.000271
0.105444,0.500000,0.532835,0.000119,0.000224
1.147784,3.785714,0.711197,0.000251,0.000353
0.941060,3.785714,0.717135,0.000095,0.000133
0.771278,3.785714,0.720381,0.000345,0.000479
0.167366,2.142857,0.630063,0.000196,0.000312
0.629347,3.785714,0.721562,0.000295,0.000409
0.508935,3.785714,0.720765,0.000452,0.000627
0.405492,3.785714,0.720547,0.000513,0.000713
0.315667,3.785714,0.721338,0.000255,0.000353
0.105444,2.142857,0.644461,0.000698,0.001084
100.000000,5.428571,0.506657,0.000132,0.000260
15.290131,5.428571,0.544118,0.000315,0.000579
7.876555,5.428571,0.583779,0.000298,0.000510
0.236937,3.785714,0.727799,0.000330,0.000453
5.108335,5.428571,0.624393,0.000506,0.000811
3.660886,5.428571,0.663238,0.000470,0.000709
2.771026,5.428571,0.698691,0.000187,0.000267
2.168596,5.428571,0.730398,0.000363,0.000497
