                  20                 160
                   0                   0        0.4637450227
                   0                   1        0.4189039826
                   0                   2        0.3593931683
                   0                   3        0.3293428123
                   0                   4        0.3011239902
                   0                   5        0.2679768610
                   0                   6        0.2377229693
                   0                   7        0.2277782353
                   0                   8        0.2042495977
                   0                   9        0.2001666420
                   0                  10        0.1736369163
                   0                  11        0.1543524043
                   0                  12        0.1376360165
                   0                  13        0.1220042070
                   0                  14        0.1191150356
                   0                  15        0.1069931541
                   0                  16        0.0998096841
                   0                  17        0.0952145884
                   0                  18        0.0963316553
                   0                  19        0.0804214617
                   0                  20        0.0722120537
                   0                  21        0.0679700415
                   0                  22        0.0641586908
                   0                  23        0.0580547919
                   0                  24        0.0521492170
                   0                  25        0.0533663909
                   0                  26        0.0502114464
                   0                  27        0.0486189198
                   0                  28        0.0424492282
                   0                  29        0.0331256889
                   0                  30        0.0268962089
                   0                  31        0.0269075771
                   0                  32        0.0233085108
                   0                  33        0.0235857029
                   0                  34        0.0171364319
                   0                  35        0.0169936626
                   0                  36        0.0167531769
                   0                  37        0.0128484315
                   0                  38        0.0102619430
                   0                  39        0.0075097953
                   0                  40        0.0101936724
                   0                  41        0.0077460051
                   0                  42        0.0084684726
                   0                  43        0.0091266432
                   0                  44        0.0083803766
                   0                  45        0.0084813596
                   0                  46        0.0099102870
                   0                  47        0.0076814543
                   0                  48        0.0024331838
                   0                  49       -0.0007143044
                   0                  50        0.0034830781
                   0                  51        0.0049151111
                   0                  52        0.0058671381
                   0                  53        0.0043014691
                   0                  54        0.0043659587
                   0                  55        0.0017250948
                   0                  56        0.0035552002
                   0                  57        0.0001072712
                   0                  58       -0.0005369251
                   0                  59        0.0003972294
                   0                  60       -0.0045710891
                   0                  61       -0.0010538861
                   0                  62       -0.0053551830
                   0                  63       -0.0051723276
                   0                  64       -0.0024656421
                   0                  65       -0.0043552440
                   0                  66       -0.0001187536
                   0                  67        0.0002977358
                   0                  68       -0.0001585481
                   0                  69       -0.0014933426
                   0                  70       -0.0022544715
                   0                  71        0.0036993117
                   0                  72        0.0004311832
                   0                  73        0.0041579519
                   0                  74       -0.0013741105
                   0                  75       -0.0042765362
                   0                  76       -0.0016300672
                   0                  77        0.0004070246
                   0                  78        0.0012805087
                   0                  79       -0.0019550341
                   0                  80        0.0028767871
                   0                  81        0.0029170104
                   0                  82        0.0014638369
                   0                  83        0.0068409956
                   0                  84        0.0090854724
                   0                  85        0.0093086235
                   0                  86        0.0099844399
                   0                  87        0.0112384628
                   0                  88        0.0098442246
                   0                  89        0.0116834525
                   0                  90        0.0099509155
                   0                  91        0.0113173786
                   0                  92        0.0123156879
                   0                  93        0.0159333715
                   0                  94        0.0175660760
                   0                  95        0.0199000182
                   0                  96        0.0141346948
                   0                  97        0.0245189832
                   0                  98        0.0339460050
                   0                  99        0.0314114546
                   0                 100        0.0271143384
                   0                 101        0.0301142955
                   0                 102        0.0273115617
                   0                 103        0.0251197460
                   0                 104        0.0284506447
                   0                 105        0.0279063601
                   0                 106        0.0299736903
                   0                 107        0.0278382249
                   0                 108        0.0329774285
                   0                 109        0.0347270270
                   0                 110        0.0360402276
                   0                 111        0.0359695338
                   0                 112        0.0336540813
                   0                 113        0.0415177360
                   0                 114        0.0492837575
                   0                 115        0.0607876120
                   0                 116        0.0509265586
                   0                 117        0.0513824763
                   0                 118        0.0522972266
                   0                 119        0.0554180118
                   0                 120        0.0637501498
                   0                 121        0.0602763127
                   0                 122        0.0563077617
                   0                 123        0.0549485680
                   0                 124        0.0538322372
                   0                 125        0.0526816801
                   0                 126        0.0560467324
                   0                 127        0.0588323383
                   0                 128        0.0602519873
                   0                 129        0.0625479649
                   0                 130        0.0670381904
                   0                 131        0.0694805740
                   0                 132        0.0690208259
                   0                 133        0.0771623065
                   0                 134        0.0801667831
                   0                 135        0.0773414300
                   0                 136        0.0796234290
                   0                 137        0.0837498673
                   0                 138        0.1009054396
                   0                 139        0.1038172723
                   0                 140        0.1062264357
                   0                 141        0.1028610077
                   0                 142        0.1118176901
                   0                 143        0.1252927152
                   0                 144        0.1328832517
                   0                 145        0.1464144144
                   0                 146        0.1708417526
                   0                 147        0.1776385962
                   0                 148        0.1801889551
                   0                 149        0.2065624683
                   0                 150        0.2166665036
                   0                 151        0.2263923263
                   0                 152        0.2410049875
                   0                 153        0.2680945845
                   0                 154        0.2943876009
                   0                 155        0.3214698910
                   0                 156        0.3622915930
                   0                 157        0.3916644218
                   0                 158        0.4276148170
                   0                 159        0.4777562166
                   1                   0        0.5254849273
                   1                   1        0.4682546248
                   1                   2        0.4133354812
                   1                   3        0.3665778232
                   1                   4        0.3329174125
                   1                   5        0.3053658848
                   1                   6        0.2831641367
                   1                   7        0.2691402410
                   1                   8        0.2493907329
                   1                   9        0.2403534771
                   1                  10        0.2387338549
                   1                  11        0.2185536881
                   1                  12        0.2014311943
                   1                  13        0.1922997783
                   1                  14        0.1821126268
                   1                  15        0.1631128995
                   1                  16        0.1630333220
                   1                  17        0.1424248453
                   1                  18        0.1255562422
                   1                  19        0.1126050452
                   1                  20        0.1058945466
                   1                  21        0.0923997137
                   1                  22        0.0891308661
                   1                  23        0.0786584751
                   1                  24        0.0812047744
                   1                  25        0.0835904666
                   1                  26        0.0811359950
                   1                  27        0.0776072521
                   1                  28        0.0663737853
                   1                  29        0.0638549829
                   1                  30        0.0577608634
                   1                  31        0.0511818109
                   1                  32        0.0512646478
                   1                  33        0.0481695558
                   1                  34        0.0453778506
                   1                  35        0.0413954280
                   1                  36        0.0343286040
                   1                  37        0.0357475964
                   1                  38        0.0328642689
                   1                  39        0.0327178659
                   1                  40        0.0342030826
                   1                  41        0.0383755163
                   1                  42        0.0380661465
                   1                  43        0.0326868951
                   1                  44        0.0350643328
                   1                  45        0.0325376915
                   1                  46        0.0322508240
                   1                  47        0.0304376902
                   1                  48        0.0342549204
                   1                  49        0.0307141448
                   1                  50        0.0325651234
                   1                  51        0.0313997963
                   1                  52        0.0341641616
                   1                  53        0.0415198392
                   1                  54        0.0558636254
                   1                  55        0.0773279936
                   1                  56        0.0588814098
                   1                  57        0.0767039336
                   1                  58        0.0574935938
                   1                  59        0.0455856448
                   1                  60        0.0341935408
                   1                  61        0.0459883717
                   1                  62        0.0375908075
                   1                  63        0.0301282949
                   1                  64        0.0292539561
                   1                  65        0.0220174644
                   1                  66        0.0269689722
                   1                  67        0.0261646452
                   1                  68        0.0336213021
                   1                  69        0.0302722959
                   1                  70        0.0230174476
                   1                  71        0.0231098621
                   1                  72        0.0186937821
                   1                  73        0.0118250197
                   1                  74        0.0089168618
                   1                  75        0.0015571654
                   1                  76        0.0067773624
                   1                  77        0.0128539043
                   1                  78        0.0133337432
                   1                  79        0.0034288219
                   1                  80        0.0124967691
                   1                  81        0.0164759321
                   1                  82        0.0111695201
                   1                  83        0.0160228525
                   1                  84        0.0108220652
                   1                  85        0.0056959830
                   1                  86        0.0074082091
                   1                  87        0.0074803681
                   1                  88        0.0067884814
                   1                  89        0.0132804881
                   1                  90        0.0134258374
                   1                  91        0.0135303223
                   1                  92        0.0163495746
                   1                  93        0.0136092107
                   1                  94        0.0133609534
                   1                  95        0.0095246243
                   1                  96        0.0108621459
                   1                  97        0.0121082089
                   1                  98        0.0126623305
                   1                  99        0.0097424595
                   1                 100        0.0094024049
                   1                 101        0.0092428390
                   1                 102        0.0110772989
                   1                 103        0.0117308297
                   1                 104        0.0138257591
                   1                 105        0.0159537992
                   1                 106        0.0163093427
                   1                 107        0.0158742418
                   1                 108        0.0142412374
                   1                 109        0.0114779234
                   1                 110        0.0122949675
                   1                 111        0.0118900988
                   1                 112        0.0175665848
                   1                 113        0.0207533205
                   1                 114        0.0199738492
                   1                 115        0.0192346864
                   1                 116        0.0184938851
                   1                 117        0.0188847287
                   1                 118        0.0176449547
                   1                 119        0.0169671641
                   1                 120        0.0190254580
                   1                 121        0.0228257289
                   1                 122        0.0228330591
                   1                 123        0.0229845495
                   1                 124        0.0290578580
                   1                 125        0.0308359503
                   1                 126        0.0316216571
                   1                 127        0.0304555695
                   1                 128        0.0254084187
                   1                 129        0.0288751132
                   1                 130        0.0332173986
                   1                 131        0.0372648865
                   1                 132        0.0384767066
                   1                 133        0.0438808857
                   1                 134        0.0466927090
                   1                 135        0.0505428153
                   1                 136        0.0580297556
                   1                 137        0.0563181293
                   1                 138        0.0624472965
                   1                 139        0.0650535331
                   1                 140        0.0758749353
                   1                 141        0.0838645138
                   1                 142        0.0959940332
                   1                 143        0.1039071202
