                  20                 160
                   0                   0       -0.1809304194
                   0                   1       -0.2438830306
                   0                   2       -0.3463780646
                   0                   3       -0.2415315397
                   0                   4       -0.2308328788
                   0                   5       -0.3768679514
                   0                   6       -0.1097203244
                   0                   7       -0.0236114380
                   0                   8        0.0505526918
                   0                   9        0.0594040537
                   0                  10        0.1247071969
                   0                  11        0.0824904165
                   0                  12        0.0758979745
                   0                  13       -0.0334875609
                   0                  14        0.1014467368
                   0                  15        0.0666196343
                   0                  16        0.0625053270
                   0                  17        0.3780562555
                   0                  18        0.1639785411
                   0                  19       -0.2964942112
                   0                  20       -0.3154329211
                   0                  21       -0.1609223002
                   0                  22       -0.2583171096
                   0                  23       -0.1475584054
                   0                  24       -0.1698363855
                   0                  25       -0.0654309038
                   0                  26       -0.1114891019
                   0                  27       -0.0412558648
                   0                  28       -0.0034415501
                   0                  29       -0.0294476501
                   0                  30       -0.0102487117
                   0                  31        0.0122755292
                   0                  32       -0.0578462670
                   0                  33        0.0372241758
                   0                  34        0.0360759187
                   0                  35        0.0137705157
                   0                  36        0.0176660568
                   0                  37       -0.0971859676
                   0                  38       -0.2710683525
                   0                  39       -0.1317205674
                   0                  40       -0.0646702149
                   0                  41       -0.0261676751
                   0                  42        0.0115759418
                   0                  43       -0.0007983016
                   0                  44        0.0136182238
                   0                  45        0.0249982511
                   0                  46        0.0205906273
                   0                  47        0.0394736340
                   0                  48        0.0341498192
                   0                  49        0.0647111278
                   0                  50        0.0672541176
                   0                  51        0.0244722232
                   0                  52        0.0661037955
                   0                  53        0.0564343358
                   0                  54        0.0859324933
                   0                  55        0.2172862442
                   0                  56        0.2230019164
                   0                  57        0.2884687175
                   0                  58        0.1789676592
                   0                  59        0.3564008798
                   0                  60        0.2753727879
                   0                  61        0.3462117963
                   0                  62        0.3626146565
                   0                  63        0.1395015314
                   0                  64        0.1865185872
                   0                  65        0.3084904738
                   0                  66        0.2867973294
                   0                  67        0.2737019318
                   0                  68        0.1696185826
                   0                  69        0.2375092313
                   0                  70        0.4723969382
                   0                  71        0.1494595497
                   0                  72        0.0672192093
                   0                  73        0.0277819819
                   0                  74        0.0296316156
                   0                  75        0.0584602960
                   0                  76        0.0832728120
                   0                  77        0.1634283120
                   0                  78       -0.0659203766
                   0                  79       -0.2274903518
                   0                  80       -0.1178016005
                   0                  81       -0.0424075007
                   0                  82       -0.0815146192
                   0                  83       -0.0292710680
                   0                  84        0.0243680790
                   0                  85        0.0714777563
                   0                  86        0.0366756014
                   0                  87        0.1045081314
                   0                  88        0.0474802946
                   0                  89        0.0310158521
                   0                  90        0.0241412663
                   0                  91        0.0310576010
                   0                  92        0.0484702820
                   0                  93        0.0314479222
                   0                  94        0.0591504351
                   0                  95        0.0725525572
                   0                  96        0.0431281133
                   0                  97        0.0774447837
                   0                  98        0.1392346776
                   0                  99        0.0258309579
                   0                 100        0.0096225643
                   0                 101       -0.0469411511
                   0                 102       -0.0105203211
                   0                 103        0.0013485542
                   0                 104       -0.0029607336
                   0                 105       -0.0185862497
                   0                 106       -0.0285456705
                   0                 107       -0.0405220685
                   0                 108       -0.0421324546
                   0                 109       -0.0805924476
                   0                 110       -0.0032616074
                   0                 111        0.0356264169
                   0                 112        0.0560048100
                   0                 113        0.0846514449
                   0                 114        0.0279807988
                   0                 115       -0.0221367592
                   0                 116       -0.1041341233
                   0                 117       -0.0908432475
                   0                 118       -0.1100831451
                   0                 119       -0.0150482043
                   0                 120        0.0320015788
                   0                 121        0.0437411365
                   0                 122       -0.0019028189
                   0                 123       -0.0009817245
                   0                 124        0.0627934582
                   0                 125        0.0211513995
                   0                 126        0.0575380043
                   0                 127       -0.0582203376
                   0                 128       -0.0336514878
                   0                 129       -0.0529067711
                   0                 130       -0.0532470063
                   0                 131        0.0076553273
                   0                 132        0.0140280111
                   0                 133       -0.0450733915
                   0                 134        0.0666988929
                   0                 135        0.0514462991
                   0                 136        0.0311293795
                   0                 137        0.0404559231
                   0                 138        0.1285361960
                   0                 139        0.1192419810
                   0                 140        0.0013623403
                   0                 141       -0.1814501352
                   0                 142       -0.0394786188
                   0                 143        0.0610612788
                   0                 144       -0.0132390118
                   0                 145       -0.1111376045
                   0                 146       -0.0535257326
                   0                 147        0.0847986173
                   0                 148        0.0277899074
                   0                 149       -0.0041659436
                   0                 150        0.1090729275
                   0                 151        0.3552402194
                   0                 152        0.1946877919
                   0                 153        0.0602271298
                   0                 154       -0.1149535938
                   0                 155       -0.2485173224
                   0                 156       -0.1622496330
                   0                 157       -0.1312935130
                   0                 158        0.0022919159
                   0                 159       -0.1444576326
                   1                   0        0.1035492324
                   1                   1        0.0598272119
                   1                   2        0.0004380051
                   1                   3        0.1067868301
                   1                   4       -0.0449492604
                   1                   5        0.0990485792
                   1                   6       -0.0359380011
                   1                   7        0.0742857098
                   1                   8       -0.0898500849
                   1                   9        0.3252722316
                   1                  10        0.2234471124
