                  20                 160
                   0                   0        0.0564352091
                   0                   1        0.0417709048
                   0                   2        0.0310713624
                   0                   3        0.0235651390
                   0                   4        0.0180520200
                   0                   5        0.0139474780
                   0                   6        0.0108707375
                   0                   7        0.0083959616
                   0                   8        0.0065544988
                   0                   9        0.0049767479
                   0                  10        0.0038221318
                   0                  11        0.0029984478
                   0                  12        0.0023531160
                   0                  13        0.0018661374
                   0                  14        0.0014530768
                   0                  15        0.0011096545
                   0                  16        0.0007989413
                   0                  17        0.0006005203
                   0                  18        0.0004606802
                   0                  19        0.0003755786
                   0                  20        0.0002885570
                   0                  21        0.0002256830
                   0                  22        0.0001637260
                   0                  23        0.0001304148
                   0                  24        0.0001036357
                   0                  25        0.0000429482
                   0                  26        0.0000146947
                   0                  27        0.0000244668
                   0                  28        0.0000350620
                   0                  29        0.0000227591
                   0                  30       -0.0000047798
                   0                  31       -0.0000139597
                   0                  32       -0.0000080099
                   0                  33        0.0000015270
                   0                  34        0.0000068804
                   0                  35        0.0000251065
                   0                  36        0.0000441787
                   0                  37        0.0000353857
                   0                  38        0.0000465127
                   0                  39        0.0000811727
                   0                  40        0.0001312541
                   0                  41        0.0001687822
                   0                  42        0.0001962581
                   0                  43        0.0001965130
                   0                  44        0.0001720460
                   0                  45        0.0001654403
                   0                  46        0.0001704258
                   0                  47        0.0001583038
                   0                  48        0.0001542350
                   0                  49        0.0001293027
                   0                  50        0.0000724836
                   0                  51        0.0000330623
                   0                  52        0.0000250916
                   0                  53        0.0000162964
                   0                  54        0.0000008367
                   0                  55        0.0000074095
                   0                  56        0.0000003668
                   0                  57       -0.0000191276
                   0                  58       -0.0000201322
                   0                  59       -0.0000163794
                   0                  60       -0.0000093203
                   0                  61        0.0000101879
                   0                  62        0.0000187684
                   0                  63        0.0000181868
                   0                  64        0.0000197801
                   0                  65        0.0000218264
                   0                  66        0.0000233542
                   0                  67        0.0000227909
                   0                  68        0.0000230357
                   0                  69        0.0000264652
                   0                  70        0.0000294530
                   0                  71        0.0000300194
                   0                  72        0.0000295734
                   0                  73        0.0000299857
                   0                  74        0.0000300478
                   0                  75        0.0000280180
                   0                  76        0.0000262069
                   0                  77        0.0000217423
                   0                  78        0.0000196250
                   0                  79        0.0000172104
                   0                  80        0.0000183130
                   0                  81        0.0000168944
                   0                  82        0.0000176737
                   0                  83        0.0000202611
                   0                  84        0.0000184856
                   0                  85        0.0000184190
                   0                  86        0.0000106916
                   0                  87        0.0000037303
                   0                  88       -0.0000034584
                   0                  89       -0.0000096611
                   0                  90       -0.0000118034
                   0                  91       -0.0000202720
                   0                  92       -0.0000236138
                   0                  93       -0.0000263429
                   0                  94       -0.0000298591
                   0                  95       -0.0000319147
                   0                  96       -0.0000335408
                   0                  97       -0.0000303788
                   0                  98       -0.0000312233
                   0                  99       -0.0000193997
                   0                 100       -0.0000112351
                   0                 101       -0.0000065188
                   0                 102       -0.0000017837
                   0                 103       -0.0000027261
                   0                 104       -0.0000068377
                   0                 105       -0.0000096145
                   0                 106       -0.0000237792
                   0                 107       -0.0000240267
                   0                 108       -0.0000220328
                   0                 109       -0.0000233917
                   0                 110       -0.0000188681
                   0                 111       -0.0000067331
                   0                 112        0.0000115365
                   0                 113        0.0000134501
                   0                 114        0.0000125702
                   0                 115        0.0000309733
                   0                 116        0.0000334023
                   0                 117        0.0000354815
                   0                 118        0.0000409789
                   0                 119        0.0000304723
                   0                 120        0.0000357875
                   0                 121        0.0000590131
                   0                 122        0.0000859926
                   0                 123        0.0001167706
                   0                 124        0.0001527815
                   0                 125        0.0002073023
                   0                 126        0.0002539584
                   0                 127        0.0003011836
                   0                 128        0.0003549006
                   0                 129        0.0004008602
                   0                 130        0.0004759940
                   0                 131        0.0005532564
                   0                 132        0.0005919598
                   0                 133        0.0006076991
                   0                 134        0.0006253256
                   0                 135        0.0006383860
                   0                 136        0.0006644926
                   0                 137        0.0006839008
                   0                 138        0.0007350763
                   0                 139        0.0008070770
                   0                 140        0.0008427084
                   0                 141        0.0008529372
                   0                 142        0.0009613490
                   0                 143        0.0012065853
                   0                 144        0.0016488685
                   0                 145        0.0019924296
                   0                 146        0.0022204129
                   0                 147        0.0026266320
                   0                 148        0.0032955359
                   0                 149        0.0039019600
                   0                 150        0.0045113646
                   0                 151        0.0055527320
                   0                 152        0.0069072481
                   0                 153        0.0086768175
                   0                 154        0.0110249582
                   0                 155        0.0141288973
                   0                 156        0.0183107746
                   0                 157        0.0241255711
                   0                 158        0.0314162614
                   0                 159        0.0417670714
                   1                   0        0.0605097286
                   1                   1        0.0463049324
                   1                   2        0.0354887573
                   1                   3        0.0275734286
                   1                   4        0.0216128349
                   1                   5        0.0170080232
                   1                   6        0.0135219143
                   1                   7        0.0108716604
                   1                   8        0.0089107392
                   1                   9        0.0073483756
                   1                  10        0.0060352880
                   1                  11        0.0049892129
                   1                  12        0.0041016124
                   1                  13        0.0033573590
                   1                  14        0.0028456075
