                  20                   6                 160
                   0                   0                   0       -0.0127381132
                   0                   0                   1       -0.0175894396
                   0                   0                   2       -0.0126917705
                   0                   0                   3       -0.0193471962
                   0                   0                   4       -0.0216748450
                   0                   0                   5       -0.0234368298
                   0                   0                   6       -0.0143805950
                   0                   0                   7       -0.0043034637
                   0                   0                   8       -0.0169821713
                   0                   0                   9       -0.0131794992
                   0                   0                  10       -0.0058895850
                   0                   0                  11       -0.0135478732
                   0                   0                  12       -0.0064399890
                   0                   0                  13       -0.0257307811
                   0                   0                  14        0.0118739757
                   0                   0                  15        0.0135262600
                   0                   0                  16        0.0172896600
                   0                   0                  17        0.0137846270
                   0                   0                  18        0.0324003429
                   0                   0                  19        0.0204755890
                   0                   0                  20        0.0295194978
                   0                   0                  21        0.0207903900
                   0                   0                  22        0.0055802082
                   0                   0                  23        0.0074605370
                   0                   0                  24        0.0077739432
                   0                   0                  25        0.0088843124
                   0                   0                  26        0.0004932191
                   0                   0                  27        0.0061682411
                   0                   0                  28        0.0017619405
                   0                   0                  29       -0.0011228977
                   0                   0                  30       -0.0003298721
                   0                   0                  31        0.0033520444
                   0                   0                  32        0.0008887139
                   0                   0                  33        0.0021082930
                   0                   0                  34        0.0011530477
                   0                   0                  35        0.0020431407
                   0                   0                  36        0.0066994932
                   0                   0                  37        0.0061179963
                   0                   0                  38        0.0053157590
                   0                   0                  39        0.0014062930
                   0                   0                  40        0.0056563137
                   0                   0                  41        0.0027663438
                   0                   0                  42        0.0032087491
                   0                   0                  43        0.0061432559
                   0                   0                  44        0.0007343015
                   0                   0                  45        0.0015101187
                   0                   0                  46        0.0020688625
                   0                   0                  47        0.0053008178
                   0                   0                  48        0.0018194751
                   0                   0                  49       -0.0018853595
                   0                   0                  50       -0.0021455892
                   0                   0                  51        0.0013433971
                   0                   0                  52        0.0004150649
                   0                   0                  53        0.0023147376
                   0                   0                  54       -0.0006945804
                   0                   0                  55       -0.0036354066
                   0                   0                  56       -0.0030340853
                   0                   0                  57       -0.0026124643
                   0                   0                  58       -0.0042041448
                   0                   0                  59       -0.0043377018
                   0                   0                  60       -0.0033271828
                   0                   0                  61       -0.0023829266
                   0                   0                  62        0.0022540153
                   0                   0                  63       -0.0011662747
                   0                   0                  64       -0.0034541558
                   0                   0                  65       -0.0039458243
                   0                   0                  66       -0.0042123068
                   0                   0                  67       -0.0029433446
                   0                   0                  68       -0.0017649890
                   0                   0                  69       -0.0014315534
                   0                   0                  70       -0.0085316756
                   0                   0                  71       -0.0077306093
                   0                   0                  72       -0.0047877345
                   0                   0                  73       -0.0042064740
                   0                   0                  74       -0.0028150855
                   0                   0                  75       -0.0035336381
                   0                   0                  76       -0.0029606425
                   0                   0                  77       -0.0026048648
                   0                   0                  78       -0.0045266969
                   0                   0                  79       -0.0051558077
                   0                   0                  80       -0.0041753906
                   0                   0                  81       -0.0040306560
                   0                   0                  82       -0.0048828954
                   0                   0                  83       -0.0014288983
                   0                   0                  84        0.0017853849
                   0                   0                  85        0.0030954349
                   0                   0                  86        0.0017392974
                   0                   0                  87        0.0038409134
                   0                   0                  88        0.0040450775
                   0                   0                  89       -0.0009725801
                   0                   0                  90        0.0009037602
                   0                   0                  91       -0.0000962329
                   0                   0                  92        0.0053734014
                   0                   0                  93        0.0112018134
                   0                   0                  94        0.0147301647
                   0                   0                  95        0.0110390608
                   0                   0                  96        0.0049596064
                   0                   0                  97        0.0069354782
                   0                   0                  98       -0.0013335652
                   0                   0                  99       -0.0082953692
                   0                   0                 100       -0.0001097728
                   0                   0                 101       -0.0038372299
                   0                   0                 102        0.0078866517
                   0                   0                 103       -0.0087752307
                   0                   0                 104       -0.0063473747
                   0                   0                 105       -0.0111353970
                   0                   0                 106       -0.0063171856
                   0                   0                 107       -0.0107155092
                   0                   0                 108        0.0046967715
                   0                   0                 109       -0.0004981354
                   0                   0                 110       -0.0044855937
                   0                   0                 111       -0.0004255940
                   0                   0                 112        0.0001721254
                   0                   0                 113        0.0057675481
                   0                   0                 114        0.0115986643
                   0                   0                 115        0.0111563216
                   0                   0                 116       -0.0003414148
                   0                   0                 117       -0.0055190346
                   0                   0                 118       -0.0094135480
                   0                   0                 119       -0.0038014467
                   0                   0                 120        0.0033211648
                   0                   0                 121        0.0099125173
                   0                   0                 122        0.0030840850
                   0                   0                 123        0.0108323948
                   0                   0                 124        0.0149177795
                   0                   0                 125        0.0136618503
                   0                   0                 126        0.0071096800
                   0                   0                 127        0.0003032665
                   0                   0                 128       -0.0024439485
                   0                   0                 129        0.0002098717
                   0                   0                 130       -0.0032049731
                   0                   0                 131       -0.0063317551
                   0                   0                 132        0.0043728117
                   0                   0                 133        0.0044264563
                   0                   0                 134        0.0044512078
                   0                   0                 135        0.0063936451
                   0                   0                 136        0.0102884938
                   0                   0                 137        0.0106852874
                   0                   0                 138        0.0108990361
                   0                   0                 139        0.0251771391
                   0                   0                 140        0.0142108847
                   0                   0                 141        0.0174093983
                   0                   0                 142        0.0120018746
                   0                   0                 143        0.0292502760
